gene	a	c	d	f	g	h	i	j	m	n
a	NA	0.66	1.363	1.398	1.169	1.113	0.602	0.636	1.456	1.183
c	0.66	NA	1.469	0.775	0.677	1.293	0.787	0.845	1.032	1.004
d	1.363	1.469	NA	1.197	1.296	2.02	0.596	1.44	2.839	1.045
f	1.398	0.775	1.197	NA	1.419	1.395	0.951	0.88	1.913	1.285
g	1.169	0.677	1.296	1.419	NA	1.175	0.575	1.447	1.082	1.038
h	1.113	1.293	2.02	1.395	1.175	NA	0.967	1.444	1.699	1.684
i	0.602	0.787	0.596	0.951	0.575	0.967	NA	0.906	0.584	1.045
j	0.636	0.845	1.44	0.88	1.447	1.444	0.906	NA	1.933	1.208
m	1.456	1.032	2.839	1.913	1.082	1.699	0.584	1.933	NA	1.155
n	1.183	1.004	1.045	1.285	1.038	1.684	1.045	1.208	1.155	NA
