name	pass	n.reads	frac.secondary	frac.mapq0	frac.mapq1	frac.mapqh	qwidth	isize	m.score
rescue_2872	TRUE	12	0	0	0	1	150	0	-0.003
rescue_2873	FALSE	14	1	0	0	1	135.357	1179.857	-0.04
rescue_2873	TRUE	132	0.136	0	0.167	0.833	126.864	41.439	-0.015
rescue_2874	FALSE	2	1	0	0	1	150	-630.5	-0.047
rescue_2874	TRUE	313	0.006	0	0.006	0.994	138.585	-4.054	-0.004
rescue_2875	FALSE	6	1	0	0	1	136	-22.167	-0.096
rescue_2875	TRUE	165	0	0	0.024	0.976	135.473	-32.976	-0.006
rescue_2876	FALSE	4	1	0	0	1	53.75	-27.5	-0.093
rescue_2876	TRUE	104	0.173	0	0.269	0.731	124.663	-37.76	-0.006
rescue_2877	TRUE	132	0	0	0	1	135.689	-23.758	-0.004
rescue_2878	TRUE	44	0	0	0	1	136	-49.795	-0.002
rescue_2879	FALSE	2	1	0	0	1	60	-60	-0.067
rescue_2879	TRUE	683	0.003	0	0.006	0.994	127.138	-39.42	-0.003
rescue_2880	TRUE	68	0.029	0	0.088	0.912	135.221	10.132	-0.004
rescue_2881	TRUE	85	0.024	0	0.071	0.929	134.447	-20.459	-0.004
rescue_2882	TRUE	51	0	0	0	1	130.902	-53.118	-0.002
rescue_2883	TRUE	34	0	0	0	1	123.706	-53.118	-0.003
rescue_2884	TRUE	15	0	0	0.133	0.867	125.933	25.533	-0.001
rescue_2885	TRUE	11	0.182	0	0.182	0.818	119.455	-74.273	0
rescue_3810	TRUE	16	0.625	0	0.625	0.375	89.75	-33.5	-0.058
rescue_3811	FALSE	3	1	0	0	1	150	-270.667	-0.067
rescue_3811	TRUE	8	0.5	0	0.75	0.25	90.5	-53	0
