Dn1	Dp1	Dn2	Dp2	Dn3	Dp3	region
13	14	5	8	9	17	rescue_2872
168	227	154	172	120	218	rescue_2873
356	216	243	273	255	254	rescue_2874
194	146	122	82	151	96	rescue_2875
101	70	64	93	97	52	rescue_2876
136	141	122	78	117	127	rescue_2877
66	66	40	52	42	54	rescue_2878
831	694	624	713	638	618	rescue_2879
84	156	83	167	65	136	rescue_2880
95	167	87	186	69	163	rescue_2881
39	50	52	48	48	52	rescue_2882
30	46	27	34	30	37	rescue_2883
21	43	4	41	14	22	rescue_2884
35	28	23	25	11	37	rescue_2885
15	164	16	176	16	153	rescue_3810
26	222	6	148	7	177	rescue_3811
