quantile	B6_Ly49Dn_mRNA	B6_Ly49Dn_terminator	B6_Ly49Dp_mRNA	B6_Ly49Dp_terminator
10%	10%	0.285714285714286	0.336339522546419	0.287557603686636	0.34385
20%	20%	0.666666666666667	0.714285714285714	0.684479263626021	0.710553459119497
30%	30%	0.781591255347318	0.799073386070988	0.789473684210526	0.8
40%	40%	0.845145917901665	0.851663413576231	0.843192117232624	0.851851851851852
50%	50%	0.889196675900277	0.883720930232558	0.886363636363636	0.887218045112782
60%	60%	0.930182391514674	0.90929635336415	0.924666342465013	0.91383877597625
70%	70%	0.973315496098105	0.933502109704641	0.96	0.9375
80%	80%	1	0.958333333333333	1	0.96368017524644
90%	90%	1	1	1	1
100%	100%	1	1	1	1
